"CLIMDIV";"lon";"lat"
903;-83.08696712;34.22151391
1103;-90.70385188;40.45399166
1301;-95.48993282;43.0299549
1402;-98.22512869;39.56125044
1803;-76.76566841;38.3864168
1604;-93.25553717;31.45417608
1608;-91.5275093;30.01065173
2104;-95.89020679;45.71751161
2302;-91.71392529;39.3253791
3207;-103.11461858;46.56088463
3610;-79.29683228;41.60391074
1902;-71.90432476;42.36660125
603;-72.76460084;41.29601433
2303;-93.46812111;38.33022659
3806;-80.69964699;33.78563929
3403;-95.74375129;36.49786219
3404;-99.14652712;35.63042691
3405;-97.22760109;35.53391619
3406;-95.44995335;35.40486826
3407;-98.8959372;34.74841552
3408;-96.94004538;34.33674562
3409;-95.03786118;34.45332182
3101;-82.78407503;35.47658775
3102;-81.23775691;36.24178199
3105;-80.40497209;35.22259706
3104;-79.96621964;35.74161743
3103;-79.21813302;36.23695473
3108;-76.95550777;36.1126934
3107;-77.30435888;35.35377006
3106;-78.45276908;34.69798128
3805;-81.90644013;33.93402525
3801;-82.74137378;34.9824794
3802;-82.21685988;34.7241376
3803;-80.95201097;34.60791695
3804;-79.56554203;34.04684182
3606;-76.52611005;41.72469143
3601;-75.49452824;41.32575411
3607;-78.14674146;41.14815453
3605;-77.03121564;40.88647937
3609;-79.69967377;40.38339814
3608;-78.33942873;40.26501073
3604;-77.20625806;39.96173526
3603;-75.83514517;40.19008397
3602;-75.81679647;40.74195716
3301;-84.12141566;41.22711843
3302;-82.86097961;41.16647875
3307;-81.07296263;40.62395175
3310;-81.74977977;39.6901163
3309;-82.81193949;38.96058368
3308;-84.14005884;39.37251386
3304;-84.1181197;40.30516686
3305;-82.99816955;40.04684035
3306;-82.15636958;40.60983005
3303;-81.21106975;41.38327004
4701;-91.63053826;45.85161752
4702;-90.08734263;45.51931791
4703;-88.52522966;45.2841781
4704;-91.498962;44.48440644
4705;-89.56050713;44.17822513
4706;-88.10694163;44.19940801
4707;-90.45469064;43.15598361
4708;-89.16323792;43.08804299
4709;-88.22381963;42.95242322
4004;-89.05541315;35.71323102
4003;-87.03294923;35.86634716
4002;-85.33988852;35.82873404
4001;-83.71561467;35.93262463
4101;-101.90415072;34.44900698
4102;-100.22882636;33.43889191
4103;-97.61107689;32.49109335
4104;-95.07000245;31.72548451
4105;-103.76214417;30.82302336
